date,user,location,text
2022-03-14 18:46:01,FusionMedia_CA,Canada,the beijing winter olympics organizing committee held a press conference on march 13. cai qi  secretary of the beij  
2022-03-14 18:32:00,Busylifeandme,England,this week my theme is highlights of the #winterparalympics. if you have any you would like to share just include th  
2022-03-14 18:21:00,AmericanOandP,"Alexandria, VA",so much excitement at this year's #winterparalympics 
2022-03-14 18:10:49,CarlosD47996453,,7 medals in 7 events:double_exclamation_mark: @oksanamasters has won a medal in every event she competed in at the 2022 games and is the f  
2022-03-14 18:10:41,CarlosD47996453,,incredible  #teamtoyota's @ricosled23 and @usahockey win the gold medal in the men's sled hockey at the  
2022-03-14 18:10:23,CarlosD47996453,,team toyota’s oksana masters becomes most decorated u.s. winter paralympian at the 2022 paralympic winter games  
2022-03-14 18:10:16,CarlosD47996453,,team usa  team toyota’s rico roman wins third paralympic medal at paralympic winter games #winterparalympics  
2022-03-14 18:10:08,CarlosD47996453,,team toyota usa 2022 winter paralympics medal count - march 14 #teamtoyota #winterparalympics  
2022-03-14 18:00:01,DeloitteUS,United States,we loved seeing @bren_hucks on the slopes repping #teamusa during the #winterparalympics  amazing job  brenna  and  
2022-03-14 17:42:51,usahockey,"Colorado Springs, Colo.",unreal.#winterparalympics | #teamusa:United_States: 
2022-03-14 17:42:03,CodyToyota,"Texas, USA",team toyota usa 2022 winter paralympics medal count - march 14 #teamtoyota #winterparalympics  
2022-03-14 17:38:16,JLEstradaV,"San Antonio, TX",team toyota usa 2022 winter paralympics medal count - march 14 #teamtoyota #winterparalympics  
2022-03-14 17:16:57,TeamUSA,,.@usahockey's sled team is going home with the :1st_place_medal:whether you stayed up late (or got up early)  thank you for watch  
2022-03-14 17:05:16,Sports_Mpls,Minneapolis,did you know  the :keycap_5: minnesotans that competed in the #winterparalympics brought home a trio of medals for  
2022-03-14 17:00:04,globaltimesnews,"Beijing, China",it is time to say goodbye but with cherished memories from #beijing2022  the city and the grand sports event. let’s  
2022-03-14 16:44:01,Henshaws,Across the North of England,congratulations to the @paralympicsgb athletes who won medals during #beijing2022.#paralympicsgb won six medals  w  
2022-03-14 16:40:49,CodyToyota,"Texas, USA",7 medals in 7 events:double_exclamation_mark: @oksanamasters has won a medal in every event she competed in at the 2022 games and is the f  
2022-03-14 16:40:22,CodyToyota,"Texas, USA",incredible  #teamtoyota's @ricosled23 and @usahockey win the gold medal in the men's sled hockey at the  
2022-03-14 16:30:00,GBSnowsport,United Kingdom,:sign_of_the_horns::3rd_place_medal: bronze :3rd_place_medal::sign_of_the_horns:ollie hill became @paralympicsgb's first ever snowboard medallist winning bronze in the banked slalom  
2022-03-14 16:28:57,sumner929,"Charleston, SC",just read a crazy @teamusa @paralympics hockey stat. the men's team allowed only 1 goal the whole tournament  amazi  
2022-03-14 16:18:38,GovMurphy,"New Jersey, USA",congratulations to new jersey’s own @jwallace_usa and @spudsusa27 on bringing home the gold in sled hockey  @teamusa #winterparalympics
2022-03-14 16:08:37,paulnords,"St Louis, MO",congratulations to team usa on winning another gold medal at this years paralympic games  beating canada 5-0. i got  
2022-03-14 16:08:33,paulnords,"St Louis, MO",congratulations to team usa on winning another gold medal at this years paralympic games  beating canada 5-0. i got  
2022-03-14 15:59:51,usahockey,"Colorado Springs, Colo.",.@lifeofalw left the 2022 #winterparalympics without allowing a single goal on net.:oncoming_fist:#teamusa:United_States: 
2022-03-14 15:59:43,ParaSportsFan,,well  the flame is out and the 2022 beigjing #winterparalympics have come to a close. 46 countries  546 athletes  7  
2022-03-14 15:57:46,AsianGamesOCA,Kuwait,𝐁𝐞𝐢𝐣𝐢𝐧𝐠 𝟐𝟎𝟐𝟐 𝐏𝐚𝐫𝐚𝐥𝐲𝐦𝐩𝐢𝐜𝐬 𝐚𝐛𝐥𝐞𝐝 𝐮𝐬 𝐭𝐨 𝐰𝐢𝐭𝐧𝐞𝐬𝐬 𝐠𝐫𝐞𝐚𝐭𝐧𝐞𝐬𝐬.:trophy:we want to thank all athletes for putting on a great show  
2022-03-14 15:45:47,km_caroline,Shropshire,congratulations on #ukraine coming second on the #winterparalympics medal table. i hope you get to where you're going safely xx
2022-03-14 15:22:37,mitchzimmerman,United States,team toyota usa 2022 winter paralympics medal count - march 14 #teamtoyota #winterparalympics  
2022-03-14 15:12:25,jrier,Michigan,team toyota usa 2022 winter paralympics medal count - march 14 #teamtoyota #winterparalympics  
2022-03-14 15:11:43,ChineseEmbTZ,Dar es Salaam,"warm congratulations to the chinese delegation for its ""best in history"" performance at the #beijing2022  "
